Instance name, X location, Y location, Voltage
fanout27, 26.32, 10.88, 1.3084e-05
FILLER_0_0_35, 26.32, 10.88, 1.3084e-05
FILLER_0_0_42, 26.32, 10.88, 1.3084e-05
FILLER_0_0_49, 26.32, 10.88, 1.3084e-05
_00_, 46.55, 10.88, 1.26269e-05
fanout21, 46.55, 10.88, 1.26269e-05
fanout23, 46.55, 10.88, 1.26269e-05
FILLER_0_0_85, 46.55, 10.88, 1.26269e-05
FILLER_0_0_93, 46.55, 10.88, 1.26269e-05

